bond_code,bond_name,maturity_date,coupon_rate,frequency,coupon_type,issuer,credit_rating,industry,interest_type,is_perpetual,is_option_embedded,is_seo,pre_repay_principal_date,pre_repay_principal_ratio,pre_repay_principal_method
110077.SH,洪城转债,2026-11-20,0.02,1.0,附息,洪城环境,AA+,可转债,累进利率,否,是,否,,,
110081.SH,闻泰转债,2027-07-28,0.02,1.0,附息,闻泰科技,BBB+,可转债,累进利率,否,是,否,,,
110087.SH,天业转债,2028-06-23,0.018,1.0,附息,新疆天业,AA+,可转债,累进利率,否,是,否,,,
110090.SH,爱迪转债,2028-09-23,0.013,1.0,附息,爱柯迪,AA,可转债,累进利率,否,是,否,,,
110092.SH,三房转债,2029-01-06,0.015,1.0,附息,三房巷,A-,可转债,累进利率,否,是,否,,,
110094.SH,众和转债,2029-07-18,0.015,1.0,附息,新疆众和,AA,可转债,累进利率,否,是,否,,,
110095.SH,双良转债,2029-08-08,0.015,1.0,附息,双良节能,AA-,可转债,累进利率,否,是,否,,,
110097.SH,天润转债,2030-10-24,0.005,1.0,附息,天润乳业,AA,可转债,累进利率,否,是,否,,,
110098.SH,南药转债,2030-12-25,0.004,1.0,附息,南京医药,AA+,可转债,累进利率,否,是,否,,,
111004.SH,明新转债,2028-03-30,0.025,1.0,附息,明新旭腾,AA-,可转债,累进利率,否,是,否,,,
111005.SH,富春转债,2028-06-23,0.018,1.0,附息,富春染织,AA-,可转债,累进利率,否,是,否,,,
111010.SH,立昂转债,2028-11-14,0.015,1.0,附息,立昂微,AA,可转债,累进利率,否,是,否,,,
111019.SH,宏柏转债,2030-04-17,0.008,1.0,附息,宏柏新材,AA-,可转债,累进利率,否,是,否,,,
111022.SH,锡振转债,2031-06-18,0.004,1.0,附息,无锡振华,AA-,可转债,累进利率,否,是,否,,,
113033.SH,利群转债,2026-04-01,0.02,1.0,附息,利群股份,AA,可转债,累进利率,否,是,否,,,
113037.SH,紫银转债,2026-07-23,0.025,1.0,附息,紫金农商银行,AA+,可转债,累进利率,否,是,否,,,
113045.SH,环旭转债,2027-03-04,0.02,1.0,附息,环旭电子,AA+,可转债,累进利率,否,是,否,,,
113046.SH,金田转债,2027-03-22,0.02,1.0,附息,金田股份,AA+,可转债,累进利率,否,是,否,,,
113053.SH,隆22转债,2028-01-05,0.016,1.0,附息,隆基绿能,AAA,可转债,累进利率,否,是,否,,,
113054.SH,绿动转债,2028-02-25,0.018,1.0,附息,绿色动力,AA+,可转债,累进利率,否,是,否,,,
113058.SH,友发转债,2028-03-30,0.018,1.0,附息,友发集团,AA,可转债,累进利率,否,是,否,,,
113059.SH,福莱转债,2028-05-20,0.018,1.0,附息,福莱特,AA,可转债,累进利率,否,是,否,,,
113066.SH,平煤转债,2029-03-16,0.012,1.0,附息,平煤股份,AAA,可转债,累进利率,否,是,否,,,
113067.SH,燃23转债,2029-07-27,0.012,1.0,附息,深圳燃气,AAA,可转债,累进利率,否,是,否,,,
113070.SH,渝水转债,2031-01-09,0.004,1.0,附息,重庆水务,AAA,可转债,累进利率,否,是,否,,,
113623.SH,凤21转债,2027-04-08,0.02,1.0,附息,新凤鸣,AA,可转债,累进利率,否,是,否,,,
113634.SH,珀莱转债,2027-12-08,0.018,1.0,附息,珀莱雅,AA,可转债,累进利率,否,是,否,,,
113643.SH,风语转债,2028-03-25,0.02,1.0,附息,风语筑,AA-,可转债,累进利率,否,是,否,,,
113650.SH,博22转债,2028-07-01,0.02,1.0,附息,苏博特,AA-,可转债,累进利率,否,是,否,,,
113652.SH,伟22转债,2028-07-22,0.018,1.0,附息,伟明环保,AA,可转债,累进利率,否,是,否,,,
113654.SH,永02转债,2028-08-04,0.02,1.0,附息,永创智能,AA-,可转债,累进利率,否,是,否,,,
113659.SH,莱克转债,2028-10-14,0.015,1.0,附息,莱克电气,AA,可转债,累进利率,否,是,否,,,
